iter	Passed	Remaining
0	143	143050
1	145	72486
2	146	48682
3	147	36753
4	148	29598
5	149	24836
6	151	21429
7	152	18867
8	153	16879
9	154	15295
10	155	13999
11	156	12916
12	158	12019
13	159	11233
14	160	10547
15	161	9947
16	162	9415
17	163	8944
18	165	8522
19	166	8141
20	167	7797
21	168	7498
22	169	7221
23	171	6967
24	172	6733
25	174	6518
26	175	6315
27	176	6125
28	177	5948
29	178	5785
30	180	5629
31	181	5489
32	182	5356
33	184	5228
34	185	5105
35	186	4998
36	187	4889
37	189	4785
38	190	4685
39	191	4591
40	192	4501
41	193	4424
42	195	4350
43	196	4272
44	197	4198
45	199	4132
46	200	4074
47	202	4008
48	203	3944
49	204	3887
50	205	3832
51	208	3792
52	209	3739
53	210	3687
54	211	3636
55	212	3588
56	214	3547
57	215	3501
58	216	3457
59	217	3413
60	218	3370
61	220	3329
62	221	3291
63	222	3254
64	223	3216
65	224	3180
66	225	3145
67	226	3110
68	228	3079
69	229	3048
70	230	3018
71	231	2988
72	233	2958
73	234	2933
74	235	2906
75	236	2879
76	237	2852
77	238	2824
78	240	2798
79	241	2773
80	242	2748
81	243	2727
82	244	2699
83	245	2676
84	246	2657
85	248	2636
86	249	2615
87	250	2596
88	251	2576
89	252	2556
90	253	2536
91	255	2516
92	256	2497
93	257	2481
94	258	2464
95	259	2446
96	261	2430
97	262	2417
98	263	2400
99	264	2384
100	265	2367
101	267	2351
102	268	2336
103	269	2320
104	270	2305
105	271	2290
106	272	2276
107	273	2262
108	275	2250
109	276	2237
110	277	2225
111	278	2211
112	279	2197
113	281	2184
114	282	2171
115	283	2158
116	284	2144
117	285	2132
118	286	2119
119	287	2108
120	288	2097
121	289	2086
122	291	2075
123	292	2064
124	293	2052
125	294	2041
126	295	2029
127	296	2018
128	297	2009
129	298	1998
130	299	1988
131	300	1978
132	302	1969
133	303	1960
134	304	1951
135	305	1941
136	306	1932
137	307	1922
138	308	1913
139	310	1904
140	311	1895
141	311	1884
142	312	1875
143	314	1866
144	315	1858
145	316	1853
146	318	1846
147	319	1837
148	320	1829
149	321	1821
150	322	1813
151	323	1807
152	325	1799
153	326	1791
154	327	1783
155	328	1776
156	329	1769
157	331	1766
158	333	1763
159	334	1757
160	335	1748
161	336	1741
162	337	1733
163	338	1726
164	339	1719
165	340	1712
166	341	1705
167	343	1699
168	344	1693
169	345	1687
170	346	1681
171	347	1674
172	349	1668
173	350	1662
174	351	1655
175	352	1649
176	353	1643
177	354	1636
178	355	1630
179	356	1625
180	357	1619
181	358	1613
182	360	1608
183	361	1602
184	362	1596
185	363	1591
186	364	1585
187	365	1579
188	366	1574
189	367	1568
190	369	1563
191	370	1558
192	371	1553
193	372	1547
194	373	1542
195	375	1538
196	376	1533
197	377	1528
198	378	1523
199	379	1518
200	380	1512
201	381	1507
202	382	1502
203	383	1498
204	385	1493
205	386	1488
206	387	1483
207	388	1479
208	389	1475
209	390	1470
210	392	1466
211	393	1461
212	394	1456
213	395	1452
214	396	1447
215	397	1443
216	398	1439
217	399	1434
218	400	1429
219	402	1425
220	403	1421
221	404	1418
222	405	1413
223	406	1409
224	407	1405
225	409	1400
226	410	1396
227	411	1392
228	412	1388
229	413	1384
230	414	1380
231	415	1376
232	417	1372
233	418	1368
234	419	1365
235	420	1362
236	421	1358
237	423	1354
238	424	1350
239	425	1346
240	426	1343
241	427	1339
242	428	1335
243	429	1332
244	431	1328
245	432	1324
246	433	1320
247	434	1318
248	436	1315
249	437	1311
250	438	1307
251	439	1304
252	440	1300
253	441	1297
254	442	1293
255	443	1289
256	445	1287
257	446	1283
258	447	1280
259	448	1277
260	449	1273
261	451	1270
262	452	1267
263	453	1263
264	454	1260
265	455	1256
266	456	1253
267	457	1249
268	458	1246
269	459	1243
270	460	1239
271	461	1236
272	463	1233
273	464	1230
274	465	1227
275	466	1224
276	467	1221
277	469	1218
278	470	1215
279	471	1212
280	472	1209
281	473	1206
282	474	1203
283	475	1199
284	477	1196
285	478	1194
286	479	1191
287	480	1188
288	482	1186
289	483	1183
290	484	1181
291	486	1178
292	487	1176
293	488	1173
294	490	1171
295	491	1168
296	492	1166
297	494	1163
298	495	1161
299	496	1158
300	497	1156
301	499	1153
302	500	1150
303	501	1147
304	502	1145
305	503	1142
306	504	1139
307	505	1136
308	507	1134
309	508	1131
310	509	1129
311	511	1127
312	512	1124
313	513	1122
314	515	1120
315	516	1117
316	517	1114
317	518	1112
318	519	1109
319	520	1106
320	522	1104
321	523	1102
322	525	1100
323	527	1101
324	529	1099
325	530	1096
326	531	1094
327	532	1091
